id|title|starring|writer|editor|aggregate value
8820|Josh|Shahrukh Khan|Mansoor Khan||Josh Shahrukh Khan Mansoor Khan
8821|The Law|Marcello Vincenzo Domenico Mastroianni|Roger Vailland Jules Dassin||The Law Marcello Vincenzo Domenico Mastroianni Roger Vailland Jules Dassin
8822||Jared Drake Bell|Craig Mazin||Jared Drake Bell Craig Mazin
8823|Balance||||Balance
8824||Louise Delamere|Elizabeth Mickery||Louise Delamere Elizabeth Mickery
8825|Drive-Thru|Paul Ganus|Brendan Cowles Shane Kuhn||Drive-Thru Paul Ganus Brendan Cowles Shane Kuhn
8826|The Captain's Paradise|Celia Johnson|Nicholas Phipps||The Captain's Paradise Celia Johnson Nicholas Phipps
8827|Broken Trail|Rusty Schwimmer|Alan Geoffrion||Broken Trail Rusty Schwimmer Alan Geoffrion
8828||BeForU|||BeForU
8829|Scooby-Doo in Arabian Nights|Eddie Deezen|||Scooby-Doo in Arabian Nights Eddie Deezen
8830||Lulu (singer)|E. R. Braithwaite||Lulu (singer) E. R. Braithwaite
8831|Breeders|Frances Raines|Tim Kincaid||Breeders Frances Raines Tim Kincaid
8832|The Acting Class|Jillian Noel Hennessy|Jillian Noel Hennessy||The Acting Class Jillian Noel Hennessy Jillian Noel Hennessy
8833|The Stooge|Dean Martin|Martin Rackin||The Stooge Dean Martin Martin Rackin
8834|Serial (film)|Edward LeSaint|W.W. Watson||Serial (film) Edward LeSaint W.W. Watson
8835|Since You Went Away|Lily Claudette Chauchoin|Margaret Buell Wilder||Since You Went Away Lily Claudette Chauchoin Margaret Buell Wilder
8836|Listen to Me|George Wyner|Douglas Day Stewart Jack Cummins Daniel Arthur Wray||Listen to Me George Wyner Douglas Day Stewart Jack Cummins Daniel Arthur Wray
8837|El ministro y yo|Chela Castro|Mario Moreno Tito Davison Carlos Leu00F3n||El ministro y yo Chela Castro Mario Moreno Tito Davison Carlos Leu00F3n
8838||Chester Morris|||Chester Morris
8839|The Aviary|Josh Randall|Silver Tree||The Aviary Josh Randall Silver Tree
8840|Golden Lion|Valentine Tessier|Charles Spaak||Golden Lion Valentine Tessier Charles Spaak
8841||Steven Fisher|Walter Wesley Hill||Steven Fisher Walter Wesley Hill
8842|Jesus' Son|William Crudup|Elizabeth Cuthrell David Urrutia Oren Moverman||Jesus' Son William Crudup Elizabeth Cuthrell David Urrutia Oren Moverman
8843|Kabhi Kabhie|Waheeda Rehman|Pamela Chopra||Kabhi Kabhie Waheeda Rehman Pamela Chopra
8844|What a Cinch|Oliver Hardy|Lorena Weekes||What a Cinch Oliver Hardy Lorena Weekes
8845||Graham Rea|Marcus Warren||Graham Rea Marcus Warren
8846||Nassar(actor)|||Nassar(actor)
8847||David Warbeck|Giovanni Paolucci||David Warbeck Giovanni Paolucci
8848||Mabel Normand|||Mabel Normand
8849|Wet Hot American Summer|Paul Stephen Rudd|Michael Showalter||Wet Hot American Summer Paul Stephen Rudd Michael Showalter
8850||Scottie Ray|||Scottie Ray
8851||Tyrone Edmund Power, Jr.|Milton Krims||Tyrone Edmund Power, Jr. Milton Krims
8852|The Big Idea|Three Stooges|Harry Moses Horwitz||The Big Idea Three Stooges Harry Moses Horwitz
8853|The Honor of an Outlaw|Henry DeWitt Carey II|Fred Kelsey||The Honor of an Outlaw Henry DeWitt Carey II Fred Kelsey
8854||Lawrence Bleir|Chuck Meyers||Lawrence Bleir Chuck Meyers
8855|The Fugitive|Henry Jaynes Fonda|Dudley Nichols||The Fugitive Henry Jaynes Fonda Dudley Nichols
8856|Skinwalkers|Elias Koteas|James David Rodru00EDguez||Skinwalkers Elias Koteas James David Rodru00EDguez
8857|The Rapture|Darwyn Carson|Michael Tolkin||The Rapture Darwyn Carson Michael Tolkin
8858|Boss of It All|Anders Hove|Lars von Trier||Boss of It All Anders Hove Lars von Trier
8859||Charles McGraw|Daniel Mainwaring||Charles McGraw Daniel Mainwaring
8860||H?ctor Bidonde|A?da Bortnik||H?ctor Bidonde A?da Bortnik
8861||Barbara Lynn Herzstein|Paul Brodeur||Barbara Lynn Herzstein Paul Brodeur
8862|Every Time We Say Goodbye|Thomas Jeffrey Hanks|Leah Appet||Every Time We Say Goodbye Thomas Jeffrey Hanks Leah Appet
8863|Evil Under the Sun|Sylvia Miles|Anthony Shaffer||Evil Under the Sun Sylvia Miles Anthony Shaffer
8864|What Happens in Vegas...|Cameron Michelle Diaz|Dana Fox||What Happens in Vegas... Cameron Michelle Diaz Dana Fox
8865|Jury Prize (Cannes Film Festival)|Thommy Berggren|Richard Weber||Jury Prize (Cannes Film Festival) Thommy Berggren Richard Weber
8866|Flight from Death: The Quest for Immortality||Patrick Shen||Flight from Death: The Quest for Immortality  Patrick Shen
8867||Wallace Fitzgerald Beery|William R. Lipman||Wallace Fitzgerald Beery William R. Lipman
8868|Colors|Maria Conchita Alonso|Richard Di Lello Michael Schiffer||Colors Maria Conchita Alonso Richard Di Lello Michael Schiffer
8869||Rajnikanth|||Rajnikanth
8870|Bande u00E0 part|Claude Brasseur|Jean-Luc Godard||Bande u00E0 part Claude Brasseur Jean-Luc Godard
8871|All Monsters Attack|Kazuo Suzuki|Shinichi Sekizawa||All Monsters Attack Kazuo Suzuki Shinichi Sekizawa
8872||Nandha|||Nandha
8873||Rati Agnihotri|Sachin Bhawmik||Rati Agnihotri Sachin Bhawmik
8874||Ruth Elizabeth Davis|Casey Robinson||Ruth Elizabeth Davis Casey Robinson
8875||Lisa Ann Beley|Garfield Reeves-Stevens Judith Reeves-Stevens||Lisa Ann Beley Garfield Reeves-Stevens Judith Reeves-Stevens
8876|One Sunday Morning|Lloyd Hamilton|||One Sunday Morning Lloyd Hamilton
8877|A Dirty Shame|Selma Blair Beitner|John Waters||A Dirty Shame Selma Blair Beitner John Waters
8878|||Mohammed Bakri||Mohammed Bakri
8879||Preeti Jhangiani|Meeraq Mirza||Preeti Jhangiani Meeraq Mirza
8880||June Cunningham|Herman Cohen||June Cunningham Herman Cohen
8881||Jake Toranzo Szymanski|W. William Winokur||Jake Toranzo Szymanski W. William Winokur
8882||Frankie Laine|William Blake Crump||Frankie Laine William Blake Crump
8883|Smile|Lloyd Vernet Bridges III|Jeffrey Kramer||Smile Lloyd Vernet Bridges III Jeffrey Kramer
8884||Kamal Haasan|||Kamal Haasan
8885|Abbott and Costello Meet Captain Kidd|Lou Costello|Howard Dimsdale||Abbott and Costello Meet Captain Kidd Lou Costello Howard Dimsdale
8886|Academy Award for Best Picture|Laura Augusta Gainor|Hermann Sudermann||Academy Award for Best Picture Laura Augusta Gainor Hermann Sudermann
8887||Eva Ru00F6se Gu00F6ran Gillinger|||Eva Ru00F6se Gu00F6ran Gillinger
8888||Harry Moses Horwitz|Felix Adler||Harry Moses Horwitz Felix Adler
8889|Standing in the Shadows of Motown||Walter Dallas,   Ntozake Shange,  Alan Slutsky||Standing in the Shadows of Motown  Walter Dallas,   Ntozake Shange,  Alan Slutsky
8890|Shoot 'Em Up|Clive Owen|Michael Davis||Shoot 'Em Up Clive Owen Michael Davis
8891|Never Again|Oliver Hardy|||Never Again Oliver Hardy
8892|Nobody Knows|Hiei Kimura|Hirokazu Koreeda||Nobody Knows Hiei Kimura Hirokazu Koreeda
8893||Trisha Krishnamurthy|Puri Jagannadh||Trisha Krishnamurthy Puri Jagannadh
8894|Beyond Rangoon|Johnny Cheah|Alex Lasker||Beyond Rangoon Johnny Cheah Alex Lasker
8895|The Flying Deuces|Lois Mae Green|Fred Schiller||The Flying Deuces Lois Mae Green Fred Schiller
8896||Kiel Martin|Gy Waldron||Kiel Martin Gy Waldron
8897|Girl in Gold Boots|Jody Daniels Leslie McRae Tom Pace Chris Howard|Art Names Leighton J. Peatman John T. Wilson||Girl in Gold Boots Jody Daniels Leslie McRae Tom Pace Chris Howard Art Names Leighton J. Peatman John T. Wilson
8898|Charlotte's Web|James Bateman|Earl Hamner Jr.||Charlotte's Web James Bateman Earl Hamner Jr.
8899|Like Father Like Son|David Wohl (actor)|Lorne Cameron||Like Father Like Son David Wohl (actor) Lorne Cameron
8900|The Master Mind|Edmund Breese|Clara Beranger David Daniel Cohen||The Master Mind Edmund Breese Clara Beranger David Daniel Cohen
8901||Kei Fujiwara|Shinya Tsukamoto||Kei Fujiwara Shinya Tsukamoto
8902||Ornella Muti|Steve Kluger||Ornella Muti Steve Kluger
8903|Day the World Ended|Louis Albert Heindrich Denninger Jr.|Lou Rusoff||Day the World Ended Louis Albert Heindrich Denninger Jr. Lou Rusoff
8904||James Howard Woods|Andy Cheng||James Howard Woods Andy Cheng
8905||Clara Lou Sheridan|Alan Campbell Norman Foster Sylvia Tate (story)||Clara Lou Sheridan Alan Campbell Norman Foster Sylvia Tate (story)
8906||Donald Randolph|Mickey Spillane||Donald Randolph Mickey Spillane
8907|Godzilla vs. King Ghidorah|Charles Kent Wilson|Kazuki Omori||Godzilla vs. King Ghidorah Charles Kent Wilson Kazuki Omori
8908|||Richard Kraft Adam Shell|Adam Shell|Richard Kraft Adam Shell Adam Shell
8909|Pretzels & Pills|Shawn Hatosy|John Bell (screen writer)||Pretzels & Pills Shawn Hatosy John Bell (screen writer)
8910|Notebook|Roma (actress)|Bobby and Sanjay||Notebook Roma (actress) Bobby and Sanjay
8911|Carnival in Flanders|Jean Murat|Charles Spaak||Carnival in Flanders Jean Murat Charles Spaak
8912||Ryu Seung-beom|Yu Seon-dong||Ryu Seung-beom Yu Seon-dong
8913|You're in the Navy Now|Jane Greer|John W. Hazard||You're in the Navy Now Jane Greer John W. Hazard
8914|Look Who's Talking Now|Lysette Chodzko|Amy Heckerling||Look Who's Talking Now Lysette Chodzko Amy Heckerling
8915||Mayumi Abe|Akira Toriyama||Mayumi Abe Akira Toriyama
8916|Ivan's Childhood|Irma Raush|Vladimir Bogomolov||Ivan's Childhood Irma Raush Vladimir Bogomolov
8917||Manuel Maru00EDa Arias Domu00EDnguez|Vicente Aranda Ezguerra||Manuel Maru00EDa Arias Domu00EDnguez Vicente Aranda Ezguerra
8918|Stand by Me|River Jude Bottom|Stephen King||Stand by Me River Jude Bottom Stephen King
8919||Premnath|||Premnath
8920|Once More, with Feeling!|Yuliy Borisovich Brynner|Harry Kurnitz||Once More, with Feeling! Yuliy Borisovich Brynner Harry Kurnitz
8921|Perfect Strangers|Friedrich Robert Donath|Clemence Dane||Perfect Strangers Friedrich Robert Donath Clemence Dane
8922|Crashin' Thru|Henry DeWitt Carey II|Beatrice Van||Crashin' Thru Henry DeWitt Carey II Beatrice Van
8923|Daft Punk's Electroma|Peter Hurteau Michael Reich|Guy-Manuel de Homem-Christo||Daft Punk's Electroma Peter Hurteau Michael Reich Guy-Manuel de Homem-Christo
8924||Joel Solomon Cohen|Talbot Rothwell||Joel Solomon Cohen Talbot Rothwell
8925|Appearances|David Powell|Margaret Turnbull (screenwriter)||Appearances David Powell Margaret Turnbull (screenwriter)
8926||Kathy Ann Najimy|Daniel Berendsen||Kathy Ann Najimy Daniel Berendsen
8927||David Gahan|Depeche Mode||David Gahan Depeche Mode
8928|If I Were a Rich Man|Valeria Bruni Tedeschi|Michel Munz||If I Were a Rich Man Valeria Bruni Tedeschi Michel Munz
8929|Fire on the Amazon|Ramsay Ross|Catherine Cyran||Fire on the Amazon Ramsay Ross Catherine Cyran
8930|Welcome to Mooseport|Marcia Gay Harden|Tom Schulman||Welcome to Mooseport Marcia Gay Harden Tom Schulman
8931|Academy Award for Best Foreign Language Film|Yury Solomin|Akira Kurosawa||Academy Award for Best Foreign Language Film Yury Solomin Akira Kurosawa
8932||Faten Ahmed Hamama|Ahmed Kamel Morsi Abu Seoud El-Ibiary||Faten Ahmed Hamama Ahmed Kamel Morsi Abu Seoud El-Ibiary
8933|Mission Impossible|Vanessa Redgrave|David Koepp||Mission Impossible Vanessa Redgrave David Koepp
8934|Making Auntie Welcome|Vincente DePascale|E.W. Sargent||Making Auntie Welcome Vincente DePascale E.W. Sargent
8935|Casper: A Spirited Beginning|Jeremy Foley|Jymn Magon||Casper: A Spirited Beginning Jeremy Foley Jymn Magon
8936|House of Wax|Chad Michael Murray|Chad Hayes||House of Wax Chad Michael Murray Chad Hayes
8937||Helena Carter|Harry Brown||Helena Carter Harry Brown
8938|Eragon|Ed Speleers|Christopher Paolini||Eragon Ed Speleers Christopher Paolini
8939||Vanessa Bauche|Felipe Cazals||Vanessa Bauche Felipe Cazals
8940|The Flock|Claire Catherine Danes|Craig Mitchell||The Flock Claire Catherine Danes Craig Mitchell
8941|Danger Lights|Gladys Georgianna Greene|James Ashmore Creelman||Danger Lights Gladys Georgianna Greene James Ashmore Creelman
8942||Marta Bianchi|Carlos Alberto Crest?||Marta Bianchi Carlos Alberto Crest?
8943||Julian Wyatt Glover|Edna O'Brien||Julian Wyatt Glover Edna O'Brien
8944|Tko pjeva zlo ne misli|Franjo Majeti?|||Tko pjeva zlo ne misli Franjo Majeti?
8945|The Life||Julie Atwell||The Life  Julie Atwell
8946|The Defender|Caroline Lee-Johnson|Douglas W. Miller||The Defender Caroline Lee-Johnson Douglas W. Miller
8947|Little John|Bentley Mitchum|Mark Zaslove||Little John Bentley Mitchum Mark Zaslove
8948|Over the Top|Robert Loggia|Sylvester Gardenzio Stallone||Over the Top Robert Loggia Sylvester Gardenzio Stallone
8949|Let It Be|George Harrison|||Let It Be George Harrison
8950|Speed 2: Cruise Control|Sandra Annette Bullock|Jeff Nathanson||Speed 2: Cruise Control Sandra Annette Bullock Jeff Nathanson
8951||Peter Seamus Ou2019Toole|Edward N. Luttwak||Peter Seamus Ou2019Toole Edward N. Luttwak
8952||Jordan Chan|Simon Lui||Jordan Chan Simon Lui
8953||Morgan Sheppard|Steve Roberts||Morgan Sheppard Steve Roberts
8954||Shirley Jane Temple|Patterson McNutt||Shirley Jane Temple Patterson McNutt
8955|The Even Stevens Movie|Christy Carlson Romano|Dennis Rinsler Marc Warren||The Even Stevens Movie Christy Carlson Romano Dennis Rinsler Marc Warren
8956|The Brave|Nicole Mancera|Gregory McDonald||The Brave Nicole Mancera Gregory McDonald
8957|Breakfast on Pluto|Brendan Gleeson|Breakfast on Pluto||Breakfast on Pluto Brendan Gleeson Breakfast on Pluto
8958||Maria Luisa Ceciarelli|||Maria Luisa Ceciarelli
8959|Berlin International Film Festival|Alberto Sordi|Rodolfo Sonego||Berlin International Film Festival Alberto Sordi Rodolfo Sonego
8960|Don't Ask Don't Tell|Peter Graves|Tex Hauser||Don't Ask Don't Tell Peter Graves Tex Hauser
8961|The Victim|Pitchanart Sakakorn|Monthon Arayangkoon||The Victim Pitchanart Sakakorn Monthon Arayangkoon
8962||Timothy Shawn Abell|Steve Armogida||Timothy Shawn Abell Steve Armogida
8963||Milton Berlinger|Joseph Levitch||Milton Berlinger Joseph Levitch
8964|||Nikos Perakis||Nikos Perakis
8965|Mundo gru00FAa|Daniel Valenzuela|Pablo Trapero||Mundo gru00FAa Daniel Valenzuela Pablo Trapero
8966|Academy Award for Best Foreign Language Film|Franti?ek Zvar?k|Ladislav Grosman||Academy Award for Best Foreign Language Film Franti?ek Zvar?k Ladislav Grosman
8967|Anywhere but Here|en .|Mona Simpson||Anywhere but Here en . Mona Simpson
8968|La ardilla roja|Emma Su?rez|Julio Medem||La ardilla roja Emma Su?rez Julio Medem
8969|Kabhi Khushi Kabhie Gham|Jaya Bhaduri|Karan Johar||Kabhi Khushi Kabhie Gham Jaya Bhaduri Karan Johar
8970|Intermezzo: A Love Story|Edna Best|George O'Neil||Intermezzo: A Love Story Edna Best George O'Neil
8971||William Lyle Richardson|||William Lyle Richardson
8972||Om Prakash|||Om Prakash
8973|The Gypsy Queen|Roscoe Arbuckle|||The Gypsy Queen Roscoe Arbuckle
8974|Married to It|Lloyd Vernet Bridges III|Janet Kovalcik||Married to It Lloyd Vernet Bridges III Janet Kovalcik
8975|Quintet|Brigitte Fossey|Robert Bernard Altman||Quintet Brigitte Fossey Robert Bernard Altman
8976|See Angkor and Die|Roland Eng|Norodom Sihanouk||See Angkor and Die Roland Eng Norodom Sihanouk
8977|Dirigible|Hobart Bosworth|Frank Wead||Dirigible Hobart Bosworth Frank Wead
8978||Spencer Bonaventure Tracy|Eleazar Lipsky||Spencer Bonaventure Tracy Eleazar Lipsky
8979|Shower|Jiang Wu|Diao Yinan||Shower Jiang Wu Diao Yinan
8980||Raqiya Ibrahim|Youssef Wahbi||Raqiya Ibrahim Youssef Wahbi
8981||Alley Mills|David Steinberg||Alley Mills David Steinberg
8982|I'm on My Way|Harold Lloyd|||I'm on My Way Harold Lloyd
8983|Fubar|Paul Spence|Paul Spence||Fubar Paul Spence Paul Spence
8984||Darlan Cunha|Jorge Furtado||Darlan Cunha Jorge Furtado
8985||Maureen Paula O'Sullivan|S. N. Behrman||Maureen Paula O'Sullivan S. N. Behrman
8986|Box office number-one movies of 2003 (USA)|Dana Elaine Owens|Jason Filardi||Box office number-one movies of 2003 (USA) Dana Elaine Owens Jason Filardi
8987||Isaach De Bankol?|Claire Denis||Isaach De Bankol? Claire Denis
8988|Evilspeak|Clint Howard|Joseph Garofalo||Evilspeak Clint Howard Joseph Garofalo
8989|Driven|Burton Leon Reynolds, Jr.|Jan Skrentny||Driven Burton Leon Reynolds, Jr. Jan Skrentny
8990|Toy Story|Erik Thomas von Detten|Joss Whedon||Toy Story Erik Thomas von Detten Joss Whedon
8991|BaadAsssss Cinema|Pamela Suzette Grier|Isaac Julien||BaadAsssss Cinema Pamela Suzette Grier Isaac Julien
8992|The Big Store|Chico Marx|Ray Golden||The Big Store Chico Marx Ray Golden
8993||Om Prakash|||Om Prakash
8994|Strange Wilderness|Steven James Zahn|Peter Gaulke||Strange Wilderness Steven James Zahn Peter Gaulke
8995||Sohail Khan|||Sohail Khan
8996||Robert Shaw (actor)|George MacDonald Fraser||Robert Shaw (actor) George MacDonald Fraser
8997|Save the Ship|Arthur Stanley Jefferson|||Save the Ship Arthur Stanley Jefferson
8998|Imagine the Sound|Archie Shepp|||Imagine the Sound Archie Shepp
8999|Dominion: Prequel to the Exorcist|Stellan Skarsg?rd|William Wisher Jr.||Dominion: Prequel to the Exorcist Stellan Skarsg?rd William Wisher Jr.
9000|Big Bug Man|Brendan Fraser|Bob Bendetson||Big Bug Man Brendan Fraser Bob Bendetson
9001|Westward Ho|Marion Robert Morrison|Harry Friedman   Lindsley Parsons   Robert Emmett Tansey||Westward Ho Marion Robert Morrison Harry Friedman   Lindsley Parsons   Robert Emmett Tansey
9002||Linda Carroll Hamilton|Leslie Bohem||Linda Carroll Hamilton Leslie Bohem
9003||Jatin Khanna|Chetan Anand (producer and director)||Jatin Khanna Chetan Anand (producer and director)
9004||Charles Ogle|John Ames Mitchell||Charles Ogle John Ames Mitchell
9005||Juan Palomino|Ezio Massa||Juan Palomino Ezio Massa
9006|A Lad from Old Ireland|Sidney Olcott|Gene Gauntier||A Lad from Old Ireland Sidney Olcott Gene Gauntier
9007|The Westerner|Walter Andrew Brennan|Niven Busch||The Westerner Walter Andrew Brennan Niven Busch
9008|Come and See|Aleksei Kravchenko|Elem Klimov||Come and See Aleksei Kravchenko Elem Klimov
9009|Seducing Doctor Lewis|Raymond Bouchard|Ken Scott (writer)||Seducing Doctor Lewis Raymond Bouchard Ken Scott (writer)
9010|Second Honeymoon|Tyrone Edmund Power, Jr.|Kathryn Scola||Second Honeymoon Tyrone Edmund Power, Jr. Kathryn Scola
9011||Ian Gomez|Alana Sanko||Ian Gomez Alana Sanko
9012|Crisis in New York!|Hideyuki Hori|Kenji Terada||Crisis in New York! Hideyuki Hori Kenji Terada
9013||Takeshi Kusao|Akira Toriyama||Takeshi Kusao Akira Toriyama
9014|Sunrise at Campobello|Eileen Evelyn Greer Garson|Dore Schary||Sunrise at Campobello Eileen Evelyn Greer Garson Dore Schary
9015|Long Day's Journey Into Night|Robert Dean Stockwell|||Long Day's Journey Into Night Robert Dean Stockwell
9016|Shaft in Africa|Frank Finlay|Stirling Silliphant||Shaft in Africa Frank Finlay Stirling Silliphant
9017|Hacking Democracy|Ion Sancho|||Hacking Democracy Ion Sancho
9018|Hey, Stop Stabbing Me!|Sean Hall|Patrick Casey||Hey, Stop Stabbing Me! Sean Hall Patrick Casey
9019||Vince McMahon|Sally Blake||Vince McMahon Sally Blake
9020|Case of Evil|Gabrielle Anwar|Piers Ashworth||Case of Evil Gabrielle Anwar Piers Ashworth
9021||Juanita Hansen|L. Frank Baum||Juanita Hansen L. Frank Baum
9022|Far Cry|Ronald Francis Perlman|Peter Scheerer||Far Cry Ronald Francis Perlman Peter Scheerer
9023|The Two Blind Men||||The Two Blind Men
9024|The Adventures of Barry McKenzie|Barry Crocker|John Barry Humphries||The Adventures of Barry McKenzie Barry Crocker John Barry Humphries
9025||Koena Mitra|Sangeeth Sivan||Koena Mitra Sangeeth Sivan
9026||Bai Ling|Robert King||Bai Ling Robert King
9027|||Jules Verne||Jules Verne
9028|What Shall We Do with Our Old?|W. Chrystie Miller|||What Shall We Do with Our Old? W. Chrystie Miller
9029|The Cook, the Thief, His Wife & Her Lover|Ciar?n Hinds|Peter Greenaway||The Cook, the Thief, His Wife & Her Lover Ciar?n Hinds Peter Greenaway
9030|La Boulangu00E8re de Monceau|Mich?le Girardon|Jean-Marie Maurice Scherer||La Boulangu00E8re de Monceau Mich?le Girardon Jean-Marie Maurice Scherer
9031||Rajnikanth|||Rajnikanth
9032|Absolute Power|Dennis Dexter Haysbert|William Goldman||Absolute Power Dennis Dexter Haysbert William Goldman
9033||Max Hamilton|Callum Hale Thomson||Max Hamilton Callum Hale Thomson
9034|Full Metal Jacket|Vincent Phillip D'Onofrio|Michael Herr||Full Metal Jacket Vincent Phillip D'Onofrio Michael Herr
9035|Turks Fruit|Monique van de Ven|Jan Wolkers||Turks Fruit Monique van de Ven Jan Wolkers
9036|The Rat Race|Lewis Delaney Offield|Garson Kanin||The Rat Race Lewis Delaney Offield Garson Kanin
9037|Navajo Joe|Fernando Casado D'Arambillet|Fernando Di Leo||Navajo Joe Fernando Casado D'Arambillet Fernando Di Leo
