id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/abstract|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/numberOfSeasons|http://dbpedia.org/ontology/numberOfEpisodes|http://dbpedia.org/ontology/birthDate|http://dbpedia.org/ontology/releaseDate|https://www.scads.de/movieBenchmark/ontology/last_air_date|https://www.scads.de/movieBenchmark/ontology/release_year|http://dbpedia.org/ontology/runtime|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/origin_country|aggregate value
1486||Ned Beatty|||||||||||||2 Ned Beatty
1487||Daniel Sackheim|||||||||||||Daniel Sackheim 2 Directing
1488||Neil Dudgeon|||||||||||||Neil Dudgeon 2
1489|Einstein Revealed||NOVA biography of Albert Einstein, covering his early years, relativity research and personal life.||||||1997-09-09||1997-01-01|120|Documentary||Einstein Revealed English 120 en Einstein Revealed NOVA biography of Albert Einstein, covering his early years, relativity research and personal life. 1997-01-01 Einstein biography from NOVA 1997-09-09 0 0 http://www.pbs.org/wgbh/nova/einstein/ Documentary Released
1490||Amanda Knight|||||||||||||Amanda Knight 0
1491|No More Grannies - The Granny Killer||CI delves into the twisted mind of one of Australia's most prolific serial murderers. John Wayne Glover, The Granny Killer, was truly an evil man. Glover's terrifying random attacks, targeting defenceless elderly women on Sydney's lower North Shore, would leave an indelible stain on the city. Hear the compelling story surrounding the hunt for the Granny Killer and his eventual arrest and trial.|1|1||||2005-08-01||2005-01-01||||1 1 CI delves into the twisted mind of one of Australia's most prolific serial murderers. John Wayne Glover, The Granny Killer, was truly an evil man. Glover's terrifying random attacks, targeting defenceless elderly women on Sydney's lower North Shore, would leave an indelible stain on the city. Hear the compelling story surrounding the hunt for the Granny Killer and his eventual arrest and trial. 2005-08-01 2005-01-01 No More Grannies - The Granny Killer
1492||Joanne Rubino|||||||||||||Joanne Rubino 1 Production
1493||Fr?d?rique Camaret|||||||||||||Fr?d?rique Camaret 0
1494||Danica Dawn Johnston|||||||||||||Danica Dawn Johnston 0
1495|Locomotive Builder||Mike heads to MotivePower in Boise, Idaho to build and restore locomotives for his 200th dirty job.|7|5||||2009-02-17||2009-01-01||||Mike heads to MotivePower in Boise, Idaho to build and restore locomotives for his 200th dirty job. 2009-02-17 7 Locomotive Builder 5 2009-01-01
1496|Nothing Personal||Crosetti's caseload is distributed among the detectives and Howard's 100% clearance rate may be in jeopardy when she gets his most difficult unsolved case; this is further complicated when Beau misplaces some new evidence. Gee meets one of Megan's friends at lunch and is convinced she isn't interested in him because he is too black. The guys close on the bar but wind up penniless when they must pay extra fees that they weren't aware of. Beau looks to Megan for comfort when he can't recover the evidence and it looks as though Beth and kids are never coming back.|18|3||||1995-04-21||1995-01-01||||Crosetti's caseload is distributed among the detectives and Howard's 100% clearance rate may be in jeopardy when she gets his most difficult unsolved case; this is further complicated when Beau misplaces some new evidence. Gee meets one of Megan's friends at lunch and is convinced she isn't interested in him because he is too black. The guys close on the bar but wind up penniless when they must pay extra fees that they weren't aware of. Beau looks to Megan for comfort when he can't recover the evidence and it looks as though Beth and kids are never coming back. 1995-01-01 18 Nothing Personal 1995-04-21 3
1497|Conflict|||18|5||||1958-03-02||1958-01-01||||Conflict 18 1958-03-02 5 1958-01-01
1498|A Sheep In Wolf's Clothing||'Ace Cooper was on his way home when he nearly runs over a stampe of escaped zoo animals. Later, Vega explains about the Wolves Company, a group of young eco-terrorist who are completely against everything ecologically wrong. Cosmo hangs out with his buddies at the video game arcade when he discovers a strang symbol in Ulene's notebook. Back at the Magic Express, Ace is determined to discover who made up the Wolves Company team before the police do, since they take the problem more seriously than the group really knows. The group's ''''mentor'''' wants them to create a stir at the Surge Consortium with a supported ''''fake bomb''''. At the consortium, Ace and Cosmo keep a lookout when Ace spoted two maintenance workers doing something unusual. He discovers the bomb while Cosmo goes after one of the workers which was surprisely Ulene. Ace has had trouble disarming the bomb coating because it's one design which can't be disarmed. So he it in a special coating and lets the bomb go off. Out of comes so|18|1||||1999-06-25||1999-01-01||||1 A Sheep In Wolf's Clothing 18 'Ace Cooper was on his way home when he nearly runs over a stampe of escaped zoo animals. Later, Vega explains about the Wolves Company, a group of young eco-terrorist who are completely against everything ecologically wrong. Cosmo hangs out with his buddies at the video game arcade when he discovers a strang symbol in Ulene's notebook. Back at the Magic Express, Ace is determined to discover who made up the Wolves Company team before the police do, since they take the problem more seriously than the group really knows. The group's ''''mentor'''' wants them to create a stir at the Surge Consortium with a supported ''''fake bomb''''. At the consortium, Ace and Cosmo keep a lookout when Ace spoted two maintenance workers doing something unusual. He discovers the bomb while Cosmo goes after one of the workers which was surprisely Ulene. Ace has had trouble disarming the bomb coating because it's one design which can't be disarmed. So he it in a special coating and lets the bomb go off. Out of comes so 1999-06-25 1999-01-01
1499||Gummaluri Sastry|||||||||||||Gummaluri Sastry 0
1500|Emergency|||25|4||||1957-03-24||1957-01-01||||1957-03-24 1957-01-01 Emergency 4 25
1501|Re: Start||Hidomi's Dream - white ash covers the entire ruins, behind which a row of humongous irons comes thundering after Hidomi who is now a zombie.|1|2||||2018-06-02||2018-01-01||||2 2018-01-01 Re: Start 1 Hidomi's Dream - white ash covers the entire ruins, behind which a row of humongous irons comes thundering after Hidomi who is now a zombie. 2018-06-02
1502||Tomoyo Kurosawa|||||||||||||1 Tomoyo Kurosawa
1503||Sergei Artsybashev|||||||||||||Sergei Artsybashev 2
1504||Shuuji Miyahara|||||||||||||Shuuji Miyahara 0
1505|The Ice Cave||Everything in Iceland continues to fascinate the four dummies, and this time, they visit Jokulsarlon to see the icebergs and a beautiful ice cave that formed hundreds of years ago. At night, they drive out to see the Northern Lights again, and they enjoy themselves stargazing and making new memories together.|5|3||||2016-01-29||2016-01-01||||Everything in Iceland continues to fascinate the four dummies, and this time, they visit Jokulsarlon to see the icebergs and a beautiful ice cave that formed hundreds of years ago. At night, they drive out to see the Northern Lights again, and they enjoy themselves stargazing and making new memories together. 5 2016-01-29 The Ice Cave 2016-01-01 3
1506||Giselher Schweitzer|||||||||||||Giselher Schweitzer 0
1507||Marina Kawano|||||||||||||1 Marina Kawano
1508||Anatoli Papanov|||||||||||||Anatoli Papanov 2
1509||Gerd Oswald|||||||||||||Gerd Oswald 2 Directing
1510|Light||When the evil Mord'Sith Denna takes Zedd captive, Richard must abandon his mission to rescue the wizard.|8|2||||2010-01-16||2010-01-01||||2 2010-01-16 When the evil Mord'Sith Denna takes Zedd captive, Richard must abandon his mission to rescue the wizard. 8 2010-01-01 Light
1511||Matti Ij?s|||||||||||||Matti Ij?s 2 Directing
1512||Miranda Richardson|||||||||||||1 Miranda Richardson
1513||The WB||||||||||||US|network The WB US
1514||Georgi Stamatov|||||||||||||Georgi Stamatov 0
1515|Lente loco||Hidden camera show|||11|49||1992-01-02|1999-09-02|1992-01-01|30|Comedy|US|es es 11 49 1992-01-01 Lente loco Comedy 1992-01-02 1999-09-02 Hidden camera show false Lente loco 30 US Ended
1516|The Baby Sitters|||25|3||||1962-03-25||1962-01-01||||1962-01-01 The Baby Sitters 1962-03-25 3 25
1517||Barry Levinson|||||||||||||2 Directing Barry Levinson
1518|Shadowman 9: In the Cradle of Destiny||The Guild of Calamitous Intent separately interrogate the Monarch and Dr. Girlfriend to determine the depth of the Phantom Limb's betrayal... and determine if the Monarch will be executed for arching without Guild permission.|1|3||||2008-06-01||2008-01-01||||1 2008-06-01 The Guild of Calamitous Intent separately interrogate the Monarch and Dr. Girlfriend to determine the depth of the Phantom Limb's betrayal... and determine if the Monarch will be executed for arching without Guild permission. 2008-01-01 Shadowman 9: In the Cradle of Destiny 3
1519||John McNaughton|||||||||||||John McNaughton 2 Directing
1520||Sue Jones-Davies|||||||||||||1 Sue Jones-Davies
1521||Erik Ekstrand|||||||||||||2 Erik Ekstrand
1522|Chapter 71||Claire makes staff changes. The Shepherds try to recruit Doug to their side. With Mark facing intense scrutiny, Jane offers advice.|6|6||||2018-11-02||2018-01-01||||2018-01-01 6 6 Chapter 71 Claire makes staff changes. The Shepherds try to recruit Doug to their side. With Mark facing intense scrutiny, Jane offers advice. 2018-11-02
1523|White Lies||An article appears in The Baltimore Sun about Kellerman and the other members of the arson unit who are under investigation. Munch investigates the death of women whose husband returned home to find her dead, cause unknown. He suspects the husband but Cox thinks differently. Pembleton tries to help Bayliss close the Lambert case. The article puts Kellerman on edge and he goes to Roland's office where he discovers Roland is a federal witness. This incident gets him suspended until he takes a polygraph test. Brodie gets an offer to stay at Kay's place. Munch presses his witness and breaks him but Cox's evidence still says otherwise. Kellerman takes the test and while waiting for the result tells Lewis the truth. Cox visits Munch's suspect in his cell. Frank reflects on his past and the future. Kellerman passes the polygraph, but so did the federal witness; one of them beat the test.|6|5||||1996-11-08||1996-01-01||||1996-11-08 An article appears in The Baltimore Sun about Kellerman and the other members of the arson unit who are under investigation. Munch investigates the death of women whose husband returned home to find her dead, cause unknown. He suspects the husband but Cox thinks differently. Pembleton tries to help Bayliss close the Lambert case. The article puts Kellerman on edge and he goes to Roland's office where he discovers Roland is a federal witness. This incident gets him suspended until he takes a polygraph test. Brodie gets an offer to stay at Kay's place. Munch presses his witness and breaks him but Cox's evidence still says otherwise. Kellerman takes the test and while waiting for the result tells Lewis the truth. Cox visits Munch's suspect in his cell. Frank reflects on his past and the future. Kellerman passes the polygraph, but so did the federal witness; one of them beat the test. White Lies 6 1996-01-01 5
1524||Sarah Carrington|||||||||||||Sarah Carrington 0
1525|Episode 9||Junpyo and Jandi keep fighting and making up, and they get to know each other. However, Junpyo’s excessive presents makes Jandi hard to keep up with his pace. She continues to avoid Junpyo and Jihoo comes to the swimming pool and cheers her up. Jandi and Junpyo go out on a date with Gaeul and her new boyfriend. However, Jandi and Gaeul’s boyfriend get uncomfortable to each other.|9|1||||2009-02-02||2009-01-01||||9 1 Junpyo and Jandi keep fighting and making up, and they get to know each other. However, Junpyo’s excessive presents makes Jandi hard to keep up with his pace. She continues to avoid Junpyo and Jihoo comes to the swimming pool and cheers her up. Jandi and Junpyo go out on a date with Gaeul and her new boyfriend. However, Jandi and Gaeul’s boyfriend get uncomfortable to each other. Episode 9 2009-01-01 2009-02-02
1526|A Funeral for Max Fabian|||13|1||||1974-02-22||1974-01-01||||13 1 1974-02-22 A Funeral for Max Fabian 1974-01-01
1527||Sean Dever|||||||||||||Sean Dever 0
1528|Your Immune System: Natural Born Killer||Hank tells us about the team of deadly ninja assassins that is tasked with protecting our bodies from all the bad guys that want to kill us - also known as our immune system.|32|1||||2012-09-03||2012-01-01||||Hank tells us about the team of deadly ninja assassins that is tasked with protecting our bodies from all the bad guys that want to kill us - also known as our immune system. 2012-01-01 2012-09-03 Your Immune System: Natural Born Killer 1 32
1529|Follow the Rules||Monty tries to change the rules of a board game when Jimmy Jones keeps beating him.|8|1||||2016-06-29||2016-01-01||||1 8 Follow the Rules 2016-06-29 Monty tries to change the rules of a board game when Jimmy Jones keeps beating him. 2016-01-01
1530||BBC Two||||||||||||GB|network BBC Two GB
1531||Olivier Horlait|||||||||||||Olivier Horlait 0
1532||Bob Rose|||||||||||||Bob Rose 0
1533||Monique Dury|||||||||||||Monique Dury 0
1534|The Case of Mrs. Bannister|||23|2||||1955-02-06||1955-01-01||||2 1955-02-06 23 1955-01-01 The Case of Mrs. Bannister
1535|And Then There Were Five|||5|1||||2014-12-02||2014-01-01||||1 2014-12-02 2014-01-01 5 And Then There Were Five
1536|The Assassins||Just before the Tiki sails, two men plant a time bomb in the hold. The bomb is discovered and thrown overboard, but a big question still remains: which of Troy's four passengers was the bomb meant for?|9|3||||1961-11-26||1961-01-01||||9 1961-01-01 Just before the Tiki sails, two men plant a time bomb in the hold. The bomb is discovered and thrown overboard, but a big question still remains: which of Troy's four passengers was the bomb meant for? 1961-11-26 The Assassins 3
1537||Colin Farrell|||||||||||||Colin Farrell 2
1538|Kazoops!||Animated preschool series encouraging children, through imaginary adventures, to challenge the workings of the world. Who says the world works the way grown-ups think it should?|||1|75||2016-06-20|2017-11-03|2016-01-01|10|||Returning Series en en 2016-01-01 https://www.bbc.co.uk/programmes/b0916y7q Kazoops! true 2016-06-20 Animated preschool series encouraging children, through imaginary adventures, to challenge the workings of the world. Who says the world works the way grown-ups think it should? 1 2017-11-03 10 75 Kazoops!
